MATRIX
M24N24
  0.00,  0.00,-8478682.17, -2.01,4239336.98,  0.00,  0.00,  0.00,8478682.17,  4.78,4239351.98,  0.00,  0.00,  0.00,8478682.17,  2.01,4239339.75,  0.00,  0.00,  0.00,-8478682.17, -4.78,4239335.64,  0.00,
  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,10000.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
-51779670.27,-36971830.99,  0.00,  0.00,  0.00,  0.00,11081995.85,3725843.43,  0.00,  0.00,  0.00,  0.00,103559340.54,36971830.99,  0.00,  0.00,  0.00,  0.00,-62861666.12,-3725843.43,  0.00,  0.00,  0.00,  0.00,
-36971830.99,-51779670.27,  0.00,  0.00,  0.00,  0.00,-3725843.43,-62861666.12,  0.00,  0.00,  0.00,  0.00,36971830.99,103559340.54,  0.00,  0.00,  0.00,  0.00,3725843.43,11081995.85,  0.00,  0.00,  0.00,  0.00,
  0.00,  0.00,-33914728.68,-8478682.17,8478682.17,  0.00,  0.00,  0.00,  0.00,-8478682.17,8478682.17,  0.00,  0.00,  0.00,33914728.68,-8478682.17,8478682.17,  0.00,  0.00,  0.00,  0.00,-8478682.17,8478682.17,  0.00,
  0.00,  0.00,8478682.17,4239335.64,  4.78,  0.00,  0.00,  0.00,8478682.17,4239336.98,  2.01,  0.00,  0.00,  0.00,-8478682.17,4239351.98, -4.78,  0.00,  0.00,  0.00,-8478682.17,4239339.75, -2.01,  0.00,
  0.00,  0.00,-8478682.17,  4.78,4239335.64,  0.00,  0.00,  0.00,8478682.17, -2.01,4239339.75,  0.00,  0.00,  0.00,8478682.17, -4.78,4239351.98,  0.00,  0.00,  0.00,-8478682.17,  2.01,4239336.98,  0.00,
  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,10000.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,
11081995.85,-3725843.43,  0.00,  0.00,  0.00,  0.00,-51779670.27,36971830.99,  0.00,  0.00,  0.00,  0.00,-62861666.12,3725843.43,  0.00,  0.00,  0.00,  0.00,103559340.54,-36971830.99,  0.00,  0.00,  0.00,  0.00,
3725843.43,-62861666.12,  0.00,  0.00,  0.00,  0.00,36971830.99,-51779670.27,  0.00,  0.00,  0.00,  0.00,-3725843.43,11081995.85,  0.00,  0.00,  0.00,  0.00,-36971830.99,103559340.54,  0.00,  0.00,  0.00,  0.00,
  0.00,  0.00,  0.00,-8478682.17,-8478682.17,  0.00,  0.00,  0.00,-33914728.68,-8478682.17,-8478682.17,  0.00,  0.00,  0.00,  0.00,-8478682.17,-8478682.17,  0.00,  0.00,  0.00,33914728.68,-8478682.17,-8478682.17,  0.00,
  0.00,  0.00,8478682.17,4239336.98, -2.01,  0.00,  0.00,  0.00,8478682.17,4239335.64, -4.78,  0.00,  0.00,  0.00,-8478682.17,4239339.75,  2.01,  0.00,  0.00,  0.00,-8478682.17,4239351.98,  4.78,  0.00,
  0.00,  0.00,-8478682.17,  2.01,4239339.75,  0.00,  0.00,  0.00,8478682.17, -4.78,4239335.64,  0.00,  0.00,  0.00,8478682.17, -2.01,4239336.98,  0.00,  0.00,  0.00,-8478682.17,  4.78,4239351.98,  0.00,
  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,10000.00,
